txn_id,order_date,amount,category,payment_method,device,address_match,customer_tier,customer_age_days,order_velocity,previous_returns,hour,pincode_tier,state,returned
TXN-00095,2025-07-26 10:00,161.84,Clothing,COD,Desktop,Different from billing,Loyal,251,3,0,10,Tier-3,Tamil Nadu,0
TXN-00096,2025-08-12 04:00,494.24,Clothing,Credit Card,Mobile,Same as billing,Returning,146,1,0,4,Metro,Gujarat,0
TXN-00097,2025-08-11 08:00,12241.4,Electronics,Debit Card,Desktop,Same as billing,Loyal,533,15,0,8,Tier-3,Delhi,0
TXN-00098,2025-07-11 15:00,4715.39,Electronics,UPI,Mobile,Same as billing,Loyal,639,2,0,15,Tier-2,Madhya Pradesh,0
TXN-00099,2025-06-04 11:00,2390.78,Toys,UPI,Desktop,Different from billing,Loyal,1021,13,1,11,Metro,Rajasthan,0
TXN-00100,2025-07-11 14:00,1310.37,Clothing,COD,Desktop,Different from billing,New,7,14,0,14,Tier-2,Tamil Nadu,1
TXN-00101,2025-06-22 09:00,5741.61,Toys,Debit Card,Mobile,Same as billing,Returning,670,5,0,9,Metro,Delhi,0
TXN-00102,2025-08-15 20:00,224.53,Beauty,Debit Card,Desktop,Different from billing,New,82,13,0,20,Tier-2,Odisha,0
TXN-00103,2025-08-13 12:00,3197.19,Home & Kitchen,UPI,Tablet,Different from billing,Returning,104,12,0,12,Tier-1,Bihar,0
TXN-00104,2025-06-27 11:00,1064.85,Beauty,Debit Card,Mobile,Same as billing,New,6,5,0,11,Metro,Maharashtra,0
TXN-00105,2025-06-21 17:00,845.94,Toys,Credit Card,Desktop,Different from billing,Returning,276,4,0,17,Tier-1,Maharashtra,0
TXN-00106,2025-08-16 18:00,3293.95,Clothing,COD,Mobile,Same as billing,Returning,440,1,1,18,Tier-3,Madhya Pradesh,0
TXN-00107,2025-06-10 12:00,1440.8,Sports,Debit Card,Desktop,Same as billing,Loyal,1322,6,0,12,Metro,Maharashtra,0
TXN-00108,2025-06-06 05:00,589.74,Clothing,Credit Card,Desktop,Different from billing,Returning,661,12,1,5,Tier-1,Gujarat,0
TXN-00109,2025-08-08 13:00,2313.9,Electronics,Credit Card,Mobile,Different from billing,Loyal,1468,1,0,13,Tier-1,Telangana,0
TXN-00110,2025-08-14 13:00,2162.28,Beauty,Credit Card,Desktop,Different from billing,New,56,6,0,13,Metro,Kerala,0
TXN-00111,2025-06-27 12:00,740.54,Home & Kitchen,Debit Card,Mobile,Same as billing,Returning,768,11,1,12,Metro,Assam,0
TXN-00112,2025-06-25 20:00,945.27,Books,Wallet,Desktop,Different from billing,Returning,603,15,0,20,Tier-2,Madhya Pradesh,0
TXN-00113,2025-08-09 11:00,986.77,Beauty,Credit Card,Mobile,Same as billing,Loyal,1331,12,0,11,Metro,West Bengal,0
TXN-00114,2025-08-25 19:00,865.98,Electronics,Credit Card,Mobile,Same as billing,Returning,191,7,2,19,Tier-2,Tamil Nadu,0
TXN-00115,2025-06-26 16:00,979.54,Electronics,COD,Desktop,Same as billing,Loyal,538,7,1,16,Metro,Madhya Pradesh,0
TXN-00116,2025-07-21 17:00,137.99,Books,UPI,Mobile,Same as billing,Loyal,1110,11,0,17,Metro,Kerala,0
TXN-00117,2025-07-30 10:00,4674.27,Beauty,Debit Card,Desktop,Different from billing,Returning,227,3,1,10,Metro,Gujarat,0
TXN-00118,2025-08-05 11:00,1442.78,Toys,Credit Card,Tablet,Same as billing,Loyal,855,5,0,11,Metro,Rajasthan,0
TXN-00119,2025-07-17 15:00,926.21,Home & Kitchen,COD,Desktop,Same as billing,Loyal,1438,4,1,15,Tier-1,Maharashtra,0
TXN-00120,2025-08-17 11:00,26255.77,Sports,COD,Desktop,Same as billing,Returning,400,2,0,11,Tier-2,Bihar,1
TXN-00121,2025-08-08 08:00,864.63,Electronics,UPI,Mobile,Same as billing,New,65,7,0,8,Metro,Uttar Pradesh,0
TXN-00122,2025-08-26 17:00,3869.76,Sports,Net Banking,Mobile,Same as billing,Returning,100,15,0,17,Metro,Gujarat,0
TXN-00123,2025-06-18 16:00,282.71,Books,Credit Card,Desktop,Same as billing,Loyal,545,9,0,16,Tier-2,Uttar Pradesh,0
TXN-00124,2025-06-03 21:00,1378.67,Clothing,Credit Card,Mobile,Same as billing,Loyal,1747,2,1,21,Tier-1,Tamil Nadu,0
TXN-00125,2025-06-03 10:00,201.59,Home & Kitchen,Net Banking,Desktop,Same as billing,New,7,3,0,10,Metro,Karnataka,0
TXN-00126,2025-08-13 11:00,3346.13,Electronics,Credit Card,Mobile,Same as billing,Returning,635,15,2,11,Tier-2,Delhi,0
TXN-00127,2025-06-07 21:00,4288.27,Clothing,UPI,Mobile,Same as billing,New,90,3,0,21,Tier-2,West Bengal,0
TXN-00128,2025-07-24 13:00,668.55,Electronics,Debit Card,Tablet,Same as billing,Loyal,729,7,0,13,Tier-3,Maharashtra,0
TXN-00129,2025-06-25 17:00,3129.99,Electronics,UPI,Tablet,Same as billing,Loyal,1698,2,2,17,Tier-1,Assam,0
TXN-00130,2025-08-29 14:00,2914.9,Clothing,Debit Card,Mobile,Different from billing,Returning,769,8,2,14,Metro,Uttar Pradesh,0
TXN-00131,2025-06-06 13:00,923.5,Clothing,COD,Mobile,Same as billing,New,31,8,0,13,Tier-1,Tamil Nadu,1
TXN-00132,2025-08-02 21:00,3205.5,Electronics,COD,Mobile,Same as billing,Loyal,300,9,1,21,Tier-2,West Bengal,0
TXN-00133,2025-08-25 06:00,2413.15,Electronics,UPI,Mobile,Same as billing,Returning,705,8,0,6,Metro,Punjab,1
TXN-00134,2025-08-07 16:00,2004.48,Home & Kitchen,Net Banking,Mobile,Same as billing,New,30,4,0,16,Tier-3,Tamil Nadu,0
TXN-00135,2025-07-16 10:00,1288.78,Clothing,Debit Card,Tablet,Different from billing,New,83,13,0,10,Metro,Punjab,0
TXN-00136,2025-07-19 13:00,467.49,Home & Kitchen,COD,Mobile,Different from billing,Loyal,612,15,1,13,Tier-3,Maharashtra,1
TXN-00137,2025-06-10 15:00,672.22,Home & Kitchen,UPI,Desktop,Same as billing,Loyal,1861,7,0,15,Metro,Delhi,0
TXN-00138,2025-07-20 15:00,2070.45,Beauty,COD,Desktop,Different from billing,New,29,14,0,15,Metro,Madhya Pradesh,1
TXN-00139,2025-08-18 20:00,706.92,Electronics,UPI,Tablet,Same as billing,Returning,726,10,0,20,Tier-1,Gujarat,0
TXN-00140,2025-06-10 07:00,153.11,Beauty,Net Banking,Mobile,Different from billing,Returning,306,2,0,7,Metro,Karnataka,0
TXN-00141,2025-08-11 13:00,2384.91,Beauty,COD,Mobile,Same as billing,Loyal,677,10,0,13,Tier-1,Bihar,0
TXN-00142,2025-07-05 11:00,1780.93,Clothing,Credit Card,Mobile,Different from billing,Loyal,1396,10,0,11,Metro,Telangana,0
TXN-00143,2025-07-21 11:00,6392.62,Electronics,Credit Card,Desktop,Same as billing,Returning,741,4,0,11,Tier-3,Kerala,0
TXN-00144,2025-07-08 16:00,4277.41,Electronics,COD,Mobile,Different from billing,Returning,593,1,0,16,Tier-3,Delhi,0
TXN-00145,2025-07-08 17:00,11583.5,Electronics,Credit Card,Mobile,Different from billing,New,61,10,0,17,Metro,Rajasthan,0
TXN-00146,2025-08-28 12:00,16505.1,Home & Kitchen,COD,Mobile,Same as billing,Returning,606,11,1,12,Metro,Punjab,0
TXN-00147,2025-07-26 08:00,625.09,Beauty,Debit Card,Desktop,Same as billing,Loyal,1594,9,0,8,Metro,Gujarat,0
TXN-00148,2025-07-08 12:00,888.04,Electronics,Credit Card,Mobile,Same as billing,New,90,2,0,12,Tier-1,Madhya Pradesh,0
TXN-00149,2025-08-26 17:00,1945.9,Clothing,Credit Card,Mobile,Same as billing,Returning,435,1,1,17,Tier-2,Punjab,0
TXN-00150,2025-07-25 12:00,3073.84,Sports,COD,Mobile,Same as billing,Returning,498,2,1,12,Metro,Odisha,0
TXN-00151,2025-08-21 11:00,1239.68,Electronics,Credit Card,Mobile,Same as billing,Returning,634,2,0,11,Metro,Punjab,0
TXN-00152,2025-06-15 09:00,4080.82,Clothing,UPI,Mobile,Same as billing,Loyal,534,9,0,9,Metro,Punjab,0
TXN-00153,2025-07-28 14:00,1738.25,Clothing,Debit Card,Desktop,Same as billing,Loyal,522,2,0,14,Tier-1,West Bengal,0
TXN-00154,2025-07-06 10:00,248.59,Home & Kitchen,COD,Mobile,Same as billing,Loyal,931,9,0,10,Tier-1,Kerala,0
TXN-00155,2025-07-25 08:00,27797.06,Electronics,Wallet,Mobile,Same as billing,Loyal,1768,13,0,8,Tier-1,Odisha,0
TXN-00156,2025-08-18 14:00,813.34,Electronics,UPI,Mobile,Same as billing,New,37,5,0,14,Tier-1,Telangana,0
TXN-00157,2025-08-05 22:00,2718.84,Toys,COD,Tablet,Different from billing,Loyal,691,3,0,22,Tier-3,Odisha,0
TXN-00158,2025-08-26 12:00,243.73,Beauty,Credit Card,Mobile,Same as billing,Returning,741,15,0,12,Tier-2,Bihar,0
TXN-00159,2025-06-01 18:00,27161.53,Sports,Credit Card,Tablet,Same as billing,Loyal,1300,10,0,18,Tier-3,West Bengal,0
TXN-00160,2025-08-27 16:00,99,Books,UPI,Mobile,Different from billing,New,80,5,0,16,Metro,Punjab,0
TXN-00161,2025-06-12 15:00,680.51,Home & Kitchen,UPI,Desktop,Same as billing,New,29,7,0,15,Tier-3,Odisha,0
TXN-00162,2025-07-18 18:00,3298.45,Toys,UPI,Mobile,Same as billing,Returning,673,12,2,18,Metro,Punjab,0
TXN-00163,2025-06-12 19:00,776.53,Beauty,Credit Card,Mobile,Same as billing,New,76,10,0,19,Tier-2,Delhi,0
TXN-00164,2025-08-28 04:00,386.58,Clothing,Credit Card,Desktop,Different from billing,Returning,276,8,1,4,Tier-2,Bihar,0
TXN-00165,2025-06-02 22:00,10106.38,Electronics,Net Banking,Desktop,Same as billing,Returning,298,4,2,22,Tier-3,Bihar,0
TXN-00166,2025-08-20 15:00,4693.59,Clothing,Debit Card,Mobile,Same as billing,Returning,189,9,0,15,Metro,Maharashtra,0
TXN-00167,2025-07-26 16:00,400.9,Home & Kitchen,Debit Card,Mobile,Same as billing,New,89,1,0,16,Tier-2,Madhya Pradesh,0
TXN-00168,2025-08-06 13:00,4430.56,Electronics,Net Banking,Desktop,Different from billing,New,54,5,0,13,Tier-2,Maharashtra,0
TXN-00169,2025-08-13 14:00,1778.97,Electronics,COD,Mobile,Same as billing,Returning,148,4,0,14,Metro,Bihar,0
TXN-00170,2025-06-02 10:00,1645.49,Electronics,COD,Desktop,Different from billing,Loyal,839,4,1,10,Tier-2,Assam,0
TXN-00171,2025-06-10 14:00,164.28,Electronics,UPI,Mobile,Same as billing,Returning,348,6,1,14,Metro,Rajasthan,0
TXN-00172,2025-07-08 14:00,620.2,Clothing,Debit Card,Mobile,Different from billing,Returning,281,3,2,14,Tier-2,Delhi,0
TXN-00173,2025-07-15 14:00,441.92,Clothing,Net Banking,Mobile,Same as billing,Loyal,471,12,0,14,Metro,Delhi,0
TXN-00174,2025-08-06 12:00,8133.62,Beauty,Debit Card,Mobile,Same as billing,Returning,708,3,0,12,Tier-2,Rajasthan,0
TXN-00175,2025-07-21 15:00,3679.3,Electronics,UPI,Mobile,Same as billing,New,59,6,0,15,Tier-2,Kerala,0
TXN-00176,2025-06-27 12:00,1084.09,Electronics,COD,Mobile,Same as billing,Loyal,483,2,0,12,Tier-2,Kerala,0
TXN-00177,2025-06-07 15:00,357.54,Home & Kitchen,Net Banking,Mobile,Different from billing,New,28,3,0,15,Tier-1,Bihar,0
TXN-00178,2025-08-20 20:00,228.38,Books,UPI,Tablet,Same as billing,New,42,2,0,20,Metro,Punjab,0
TXN-00179,2025-08-13 12:00,4523.03,Electronics,Credit Card,Mobile,Same as billing,Loyal,1437,10,0,12,Tier-3,Telangana,0
TXN-00180,2025-08-10 13:00,456.87,Home & Kitchen,Debit Card,Desktop,Same as billing,New,45,8,0,13,Metro,Bihar,0
TXN-00181,2025-08-12 13:00,1366.27,Clothing,UPI,Desktop,Different from billing,Returning,628,4,0,13,Tier-2,Karnataka,0
TXN-00182,2025-06-08 16:00,15876.94,Toys,Credit Card,Tablet,Same as billing,Returning,785,12,2,16,Tier-3,Tamil Nadu,0
TXN-00183,2025-07-16 20:00,2439.9,Electronics,Wallet,Desktop,Same as billing,New,29,10,0,20,Tier-1,Telangana,0
TXN-00184,2025-06-01 11:00,6087.12,Electronics,UPI,Desktop,Same as billing,Returning,175,13,1,11,Tier-3,Karnataka,0
TXN-00185,2025-07-18 15:00,4049.22,Electronics,Credit Card,Tablet,Different from billing,Loyal,829,3,1,15,Tier-2,Rajasthan,0
TXN-00186,2025-08-15 17:00,705.43,Clothing,UPI,Mobile,Same as billing,Loyal,1342,1,0,17,Tier-2,Kerala,0
TXN-00187,2025-06-14 20:00,22616.28,Clothing,UPI,Mobile,Different from billing,Loyal,970,8,0,20,Metro,Telangana,0
TXN-00188,2025-08-03 18:00,1107.33,Sports,COD,Mobile,Same as billing,New,4,5,0,18,Tier-2,Delhi,1
TXN-00189,2025-06-14 07:00,609.47,Beauty,Debit Card,Desktop,Different from billing,Loyal,243,7,0,7,Metro,Kerala,0
TXN-00190,2025-06-13 11:00,9445.16,Home & Kitchen,COD,Mobile,Same as billing,New,70,14,0,11,Tier-2,Telangana,1
TXN-00191,2025-06-01 12:00,517.29,Home & Kitchen,UPI,Mobile,Different from billing,Returning,345,13,0,12,Metro,Telangana,0
TXN-00192,2025-08-09 12:00,1177.02,Electronics,UPI,Mobile,Same as billing,New,89,11,0,12,Metro,Odisha,0
TXN-00193,2025-08-09 12:00,3581.16,Electronics,Credit Card,Mobile,Different from billing,Returning,271,8,0,12,Tier-3,Punjab,0
TXN-00194,2025-08-06 17:00,4733.78,Electronics,COD,Mobile,Different from billing,New,10,11,0,17,Tier-3,Delhi,0
TXN-00195,2025-08-20 08:00,2410.63,Beauty,COD,Mobile,Same as billing,Returning,42,13,1,8,Tier-2,Uttar Pradesh,0
TXN-00196,2025-06-15 12:00,311.83,Sports,COD,Tablet,Different from billing,Loyal,884,15,0,12,Tier-2,Maharashtra,0
TXN-00197,2025-07-31 05:00,1053.61,Home & Kitchen,Net Banking,Mobile,Different from billing,New,34,15,0,5,Tier-3,Gujarat,1
TXN-00198,2025-07-09 11:00,811.92,Beauty,COD,Mobile,Same as billing,New,52,12,0,11,Tier-2,Kerala,0
TXN-00199,2025-06-08 13:00,652.54,Home & Kitchen,UPI,Desktop,Same as billing,Loyal,1894,1,0,13,Tier-3,Karnataka,0
TXN-00200,2025-08-30 09:00,1090.26,Clothing,COD,Desktop,Same as billing,New,60,10,0,9,Metro,West Bengal,1
